kernel;C;color_space;orient;pix_per_cell;cell_per_block;hog_channel;spatial_size;hist_bins;spatial_feat;hist_feat;hog_feat;pca;pca_num;time_to_extract_features;time_to_extract_features_100;features_vector_length;training_time;accuracy;prediction_time_100
linear;1;YCrCb;9;8;2;-1;16;32;False;True;False;False;0;39.25;0.221;96;23.39;0.8998;0.028845433
sigmoid;10;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;186.79;1.05175;6156;103.21;0.922;0.522746018
linear;1;YCrCb;9;8;2;-1;16;32;True;False;False;False;0;11.94;0.06723;768;189.57;0.9319;0.13688883300000002
linear;1;YCrCb;9;8;2;-1;16;32;True;True;False;False;0;57.76;0.32522;864;45.61;0.9513;0.068119819
linear;1;YCrCb;9;8;2;2;16;16;True;True;True;False;0;65.07;0.36638;2580;47.3;0.9637;0.225435654
linear;1;YCrCb;9;8;2;1;16;16;True;True;True;False;0;65.0;0.36599;2580;40.07;0.971;0.195765133
linear;1;YCrCb;9;8;2;-1;16;32;False;False;True;False;0;173.85;0.97888;5292;79.81;0.9727;0.452396435
linear;1;YCrCb;12;8;2;1;16;16;True;True;True;False;0;81.66;0.4598;3168;47.54;0.9744;0.257181665
sigmoid;1;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;188.11;1.05918;6156;66.04;0.9747;0.441058759
linear;1;YCrCb;9;32;2;-1;16;32;True;True;True;False;0;144.472;0.8134680000000001;972;29.55;0.9778;0.111515
rbf;1;YCrCb;9;8;2;-1;16;32;False;False;True;False;0;230.702;1.298998;5292;297.867;0.9797;2.010923
linear;1;LUV;8;8;2;0;16;32;True;True;True;False;0;151.562;0.85339;2432;70.047;0.9806;0.333193
linear;1;YCrCb;9;8;2;0;16;16;True;True;True;False;0;71.72;0.40383;2580;34.67;0.9825;0.171425147
linear;1;HLS;9;8;2;-1;16;32;True;True;True;False;0;184.33;1.03789;6156;77.67;0.9851;0.471882348
linear;1;YCrCb;9;8;1;-1;16;16;True;True;True;False;0;175.03;0.98553;2544;29.43;0.9854;0.163691337
linear;1;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;252.04;1.41914;6156;63.61;0.9862;0.3848051770000001
linear;1;YCrCb;9;6;2;-1;16;16;True;True;True;False;0;248.16;1.3973;9564;127.29;0.9862;0.809865559
rbf;10;YCrCb;9;8;2;-1;16;32;False;False;True;False;0;249.375;1.404139;5292;260.541;0.9865;1.79848
linear;1;YCrCb;9;8;2;-1;16;32;True;False;True;False;0;185.89;1.0466799999999998;6060;76.38;0.9865;0.460110625
linear;1;YCrCb;9;16;2;-1;16;32;True;True;True;False;0;196.486;1.10634;1836;38.573;0.9865;0.192793
linear;1;YCrCb;9;8;2;-1;16;32;False;True;True;False;0;241.7;1.36092;5388;63.1;0.9868;0.36449235
linear;1;YCrCb;16;16;2;-1;16;32;True;True;True;False;0;399.041;2.246852;2592;48.216;0.9879;0.266019
linear;1;YCrCb;9;8;2;-1;16;16;True;True;True;False;0;175.71;0.98936;6108;66.63;0.9882;0.398348816
linear;1;YCrCb;9;8;2;-1;16;128;True;True;True;False;0;231.246;1.302061;6444;139.757;0.9882;0.860867
linear;1;YCrCb;9;8;2;-1;16;16;True;True;True;False;0;270.166;1.521205;6108;139.19799999999998;0.9885;0.84772
linear;1;YCrCb;32;16;2;-1;16;32;True;True;True;False;0;341.88;1.925;4320;100.886;0.9885;0.558305
linear;1;YCrCb;9;8;2;-1;32;16;True;True;True;False;0;214.29;1.20659;8412;97.54;0.989;0.587781874
linear;1;YCrCb;9;8;2;-1;16;64;True;True;True;False;0;221.12;1.2450450000000002;6252;131.31799999999998;0.9899;0.849015
linear;10;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;268.646;1.512646;6156;141.346;0.9901;0.8624440000000001
rbf;1;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;164.92;0.9286;6156;129.95;0.991;0.8800059090000001
linear;1;YCrCb;16;16;2;-1;16;16;True;True;True;False;0;195.845;1.102731;2544;54.308;0.9913;0.28964
linear;1;YCrCb;32;16;2;-1;16;16;True;True;True;False;0;208.548;1.174257;4272;106.022;0.9918;0.587078
linear;1;YCrCb;12;8;2;-1;16;16;True;True;True;False;0;200.0;1.12613;7872;89.35;0.9924;0.56355309
rbf;10;YCrCb;9;8;2;-1;16;32;True;True;True;False;0;193.8;1.09122;6156;125.57;0.9958;0.851323268
rbf;100;YCrCb;16;16;2;-1;16;16;True;True;True;True;50;76.29925;0.429613;2544;1.10353;0.9952;0.003175
rbf;100;YCrCb;16;16;2;-1;16;16;True;True;True;True;100;77.98246999999998;0.43909;2544;2.3471900000000003;0.9932;0.009498
rbf;100;YCrCb;16;16;2;-1;16;16;True;True;True;True;150;77.33564;0.435448;2544;5.54608;0.9966;0.025501
rbf;100;YCrCb;16;16;2;-1;16;16;True;True;True;True;250;76.91235999999998;0.433065;2544;34.998259999999995;0.9913;0.096337
rbf;100;YCrCb;16;16;2;-1;16;16;True;True;True;True;500;76.36215;0.429967;2544;214.71019;0.9623;0.396328
linear;10;YCrCb;9;8;2;-1;16;32;True;True;True;True;50;183.46611;1.03303;6156;10.06166;0.9825;0.002822
rbf;1;YCrCb;9;8;2;-1;16;32;True;True;True;True;50;210.27023;1.1839540000000002;6156;2.23816;0.9825;0.010147
linear;1;YCrCb;16;16;2;-1;16;16;True;True;True;True;50;77.65231999999997;0.437232;2544;2.60967;0.9744;0.003161
linear;1;YCrCb;32;16;2;-1;16;16;True;True;True;True;50;94.07903;0.529724;4272;2.65471;0.9741;0.003062
linear;1;YCrCb;12;8;2;-1;16;16;True;True;True;True;50;176.21313999999995;0.992191;7872;2.72094;0.978;0.002907
rbf;10;YCrCb;9;8;2;-1;16;32;True;True;True;True;50;195.65128;1.10164;6156;1.27624;0.9873;0.005208
rbf;10;YCrCb;16;16;2;-1;16;16;True;True;True;False;0;80.64104;0.45406;2544;1194.78186;0.8491;2.578472
rbf;100;YCrCb;16;12;2;-1;16;16;True;True;True;True;50;106.21552;0.59806;50;1.14539;0.9899;0.0031899999999999997
rbf;100;YCrCb;12;12;2;-1;16;16;True;True;True;True;50;99.45936;0.5600189999999999;50;1.14394;0.9904;0.003246
rbf;100;YCrCb;9;8;2;-1;16;16;True;True;True;True;50;183.39887;1.032651;50;1.28851;0.9899;0.003387
rbf;10;YCrCb;16;16;2;-1;16;16;True;True;True;True;150;97.04686;0.546435;150;5.26994;0.9975;0.024428
